project_id,no_spk,no_bap,no,date,termyn,job_percent,payment_percent,nilai,retensi
3,218/SBM/1/1.4.4/IX/12,BAP 13-0171,218/SBM/1/1.4.4/IX/12,2012-10-20,2,30,30,90300000,0
3,218/SBM/1/1.4.4/IX/12,BAP 13-0171,218/SBM/1/1.4.4/IX/12,2012-11-20,3,40,5,15050000,0
3,218/SBM/1/1.4.4/IX/12,BAP 13-0171,IL.001/K-218/12,2012-11-16,0,0,30,-1806000,0
3,218/SBM/1/1.4.4/IX/12,BAP 13-0171,IL.001/K-218/12,2012-11-16,1,100,65,-3913000,0
3,288/SPK/EST/CG/XI/12,BAP 13-0172,288/SPK/EST/CG/XI/12,2013-03-17,2,0,5,2500000,0
3,013/SPK/EST/CG/I/13,BAP 13-0173,013/SPK/EST/CG/I/13,2013-01-28,1,100,95,6400150,0
3,018/SBM/1/36.6.6/I/12,BAP 13-0174,018/SBM/1/36.6.6/I/12,2012-03-29,3,10,10,34000000,1700000
3,018/SBM/1/36.6.6/I/12,BAP 13-0174,018/SBM/1/36.6.6/I/12,2012-04-29,4,10,10,34000000,1700000
3,018/SBM/1/36.6.6/I/12,BAP 13-0174,018/SBM/1/36.6.6/I/12,2012-05-29,5,3,3,8840000,442000
3,285/SBM/1/1.3.4/XI/12,BAP 13-0177,285/SBM/1/1.3.4/XI/12,2012-11-16,1,100,95,3541011,0
3,015/SPK/EST/CG/I/13,BAP 13-0178,015/SPK/EST/CG/I/13,2013-01-30,0,0,50,9192500,0
3,015/SPK/EST/CG/I/13,BAP 13-0178,015/SPK/EST/CG/I/13,2013-01-30,1,100,45,8273250,0
3,282/SPK/EST/CG/XI/12,BAP 13-0179,282/SPK/EST/CG/XI/12,2012-11-14,1,100,95,6909091,0
3,036/SBM/1/36.26.1/II/13,BAP 13-0180,036/SBM/1/36.26.1/II/13,2013-02-20,0,0,15,143080660,0
3,035/SBM/1/36.26.1/II/13,BAP 13-0181,035/SBM/1/36.26.1/II/13,2013-02-20,0,0,15,179257411,0
3,317/SBM/1/36.13.4/XII/12,BAP 13-0182,317/SBM/1/36.13.4/XII/12,2012-12-11,1,100,95,18738750,0
3,039/SPK/EST/CG/II/13,BAP 13-0183,039/SPK/EST/CG/II/13,2013-02-26,1,100,95,14250000,0
