project_id,no_spk,no_bap,date,termyn,job_percent,payment_percent,nilai,retensi
61,013/PGM/1/1.5.7/IV/18,BAP 18-0089,2018-05-21,1,55,40,1674840000,115145250
61,026/PGM/1/1.12.5/V/18,BAP 18-0091,2018-06-24,2,17,17,9900000,0
61,019/PGM/1/1.1.4/IV/18,BAP 18-0093,2018-04-05,0,0,40,35700000,0
61,019/PGM/1/1.1.4/IV/18,BAP 18-0094,2018-07-30,1,30,30,26775000,0
61,027/PGM/1/1.27.4/V/18,BAP 18-0098,2018-05-25,1,100,45,24589125,0
61,041/PGM/1/7.4.4/IX/17,BAP 18-0099,2018-02-09,5,17,17,1498392000,74919600
61,030/PGM/1/1.1.8/VI/18,BAP 18-0100,2018-06-12,0,0,50,4300000,0
61,015/PGM/1/1.12.5/III/18,BAP 18-0102,2018-04-09,1,42,27,94572360,7329618
61,0367/PGM/1/1.13.4/VII/18,BAP 18-0103,2018-08-06,1,100,100,10920000,0
61,038/PGM/1/7.26.1/IX/17,BAP 18-0104,2018-05-18,6,11,11,319748239,15987412
61,053/PGM/1/1.12.5/XII/17,BAP 18-0105,2018-05-24,5,17,17,18502000,0
61,053/PGM/1/1.12.5/XII/17,BAP 18-0105,2018-08-07,1,100,100,-922415,0
61,053/PGM/1/1.12.5/XII/17,BAP 18-0106,2018-06-24,6,17,17,18502000,0
